requestedLatitude,requestedLongitude,latitude,longitude,gridpointId,validTimeUtc,drivingDifficultyIndex,iconCode,iconCodeExtended,precip1Hour,precip6Hour,precip24Hour,precip2Day,precip3Day,precip7Day,precipMtd,precipYtd,pressureChange,pressureMeanSeaLevel,relativeHumidity,snow1Hour,snow6Hour,snow24Hour,snow2Day,snow3Day,snow7Day,snowMtd,snowSeason,snowYtd,temperature,temperatureChange24Hour,temperatureMax24Hour,temperatureMin24Hour,temperatureDewPoint,temperatureFeelsLike,uvIndex,visibility,windDirection,windSpeed,windGust
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2022-12-31T20:20:00+0000,0,31,3100,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.4,1031.5,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-1.2,-0.4,9.0,-3.0,-2.1,-1.2,0,9.94,240.0,3.2,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2022-12-31T21:20:00+0000,0,31,3100,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.3,1031.4,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-2.1,-0.6,9.0,-3.0,-2.8,-4.0,0,8.77,270.0,4.7,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2022-12-31T22:20:00+0000,0,31,3100,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.1,1031.7,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-2.2,-0.4,9.0,-3.0,-2.3,-4.8,0,8.09,270.0,6.5,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2022-12-31T23:20:00+0000,0,31,3100,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.4,1031.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-2.6,-0.3,9.0,-3.0,-2.6,-5.7,0,8.05,270.0,7.6,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2023-01-01T00:20:00+0000,0,33,3300,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.4,1031.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-3.1,-0.4,9.0,-3.1,-3.1,-6.5,0,8.05,270.0,8.3,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2023-01-01T01:20:00+0000,0,29,2900,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.6,1032.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-2.6,-0.3,9.0,-3.1,-2.6,-6.1,0,8.05,270.0,9.0,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2023-01-01T02:20:00+0000,0,29,2900,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.6,1032.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-3.0,-0.3,9.0,-3.1,-3.0,-6.7,0,8.05,270.0,9.4,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2023-01-01T03:20:00+0000,0,29,2900,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.7,1032.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-3.8,-0.4,9.0,-3.8,-3.8,-7.7,0,8.05,270.0,9.7,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2023-01-01T04:20:00+0000,0,30,3000,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,0.9,1032.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-3.4,-0.2,9.0,-4.0,-3.4,-7.4,0,8.05,260.0,9.7,
39.99,48.06,39.97802197802197,48.076132788447126,tp45mvzbz56y5,2023-01-01T05:20:00+0000,0,30,3000,0.0,0.0,0.0,0.0,0.0,0.0,5.0,152.0,1.1,1033.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,-2.3,-0.1,9.0,-4.0,-2.3,-6.2,0,9.48,270.0,10.8,
